x,f(x),lagrange,spline,err_lagrange,err_spline
0.5998,-1.12694997899796,-1.00165205469698,-1.12694970137852,0.125297924300983,2.77619447208721e-07
0.6047,-1.10984436684773,-1.31470668029861,-1.10984324069516,0.204862313450886,1.1261525634243e-06
0.6096,-1.09297150957461,-0.906074427077952,-1.09296949622907,0.186897082496655,2.01334554206234e-06
0.6145,-1.07632620197658,-0.911004843408604,-1.07632360526756,0.16532135856798,2.59670902358344e-06
0.6194,-1.0599034017577,-0.747577502414194,-1.05990070509798,0.312325899343509,2.69665972663091e-06
0.6243,-1.04369822310449,-0.945488409561274,-1.04369593300765,0.0982098135432118,2.29009684038495e-06
0.6292,-1.02770593056368,-0.968944653565267,-1.0277044262839,0.0587612769984152,1.50427978340417e-06
0.6341,-1.01192193320508,-0.98605906203522,-1.01192132221407,0.0258628711698571,6.10991009564188e-07
0.639,-0.996341779054024,-0.997481415916506,-0.996341758085483,0.00113963686248209,2.09685411256544e-08
0.6439,-0.980961149779318,-0.995730061988297,-0.980961017885993,0.0147689122089795,1.31893325039378e-07
0.6488,-0.965775855622897,-0.988670430164861,-0.965775159356259,0.0228945745419642,6.96266637345566e-07
0.6537,-0.950781830558659,-0.975316081584219,-0.950780494413124,0.0245342510255597,1.33614553454731e-06
0.6586,-0.93597512766845,-0.998665952895597,-0.935973335124621,0.0626908252271476,1.79254382848271e-06
0.6635,-0.921351914723972,-0.940720533139492,-0.921349993558783,0.0193686184155202,1.92116518871188e-06
0.6684,-0.906908469964034,-0.920142342904989,-0.906906781783644,0.013233872940955,1.68818039014695e-06
0.6733,-0.892641178057167,-0.890130307901677,-0.892640011867237,0.0025108701554899,1.16618993040163e-06
0.6782,-0.878546526240219,-0.882679870010594,-0.878545995877594,0.00413334377037533,5.30362624928671e-07
0.6831,-0.864621100624071,-0.865318421904229,-0.86462104588275,0.000697321280157426,5.47413216978043e-08
0.688,-0.85086158265813,-0.847337008959492,-0.850861528996805,0.00352457369863723,5.36613248280915e-08
0.6929,-0.837264745745705,-0.834441872824341,-0.83726431799101,0.00282287292136318,4.27754694776183e-07
0.6978,-0.823827452002862,-0.820648328675642,-0.823826557697073,0.0031791233272197,8.94305788423644e-07
0.7027,-0.810546649153706,-0.807584156686645,-0.81054539556881,0.00296249246706093,1.25358489588834e-06
0.7076,-0.797419367555479,-0.797458223654554,-0.797417979060035,3.88560990755016e-05,1.38849544339958e-06
0.7125,-0.784442717347196,-0.782486701830061,-0.784441455624563,0.00195601551713553,1.26172263370528e-06
0.7174,-0.771613885715912,-0.770379370732554,-0.771612972716207,0.00123451498335803,9.12999705171558e-07
0.7223,-0.758930134274993,-0.758311532462437,-0.758929677788783,0.000618601812555797,4.56486209388096e-07
0.7272,-0.746388796549111,-0.746057366359995,-0.746388718296106,0.000331430189116078,7.82530056309128e-08
0.7321,-0.733987275560946,-0.734159542575349,-0.733987259426062,0.000172267014402427,1.6134884650576e-08
